,title,publishers,sheet_music,date,month,day,year,chart
0,1.5,(Not Listed),,2019-01-05,01,05,2019,H100  86 ; RBH  33
1,200 MPH,(Not Listed),,2019-01-05,01,05,2019,LT  42
2,99,(Songs Of SMP -- ASCAP/Sony/ATV Tunes LLC -- ASCAP),HL,2019-01-05,01,05,2019,RO  36
3,ADICTIVA,(Los Cangris Publishing -- ASCAP/WB Music Corp. -- ASCAP/Jedy Squat Music -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),,2019-01-05,01,05,2019,LT  13
4,ADICTO,(Planet Royce Publishing -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI/Sony/ATV Latin Music Publishing -- LLC -- BMI/Raka Music Publishing -- BMI/Peermusic III -- Ltd. -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Patrick Ingunza Music LLC -- BMI/Sony/ATV Tunes LLC -- ASCAP/Dice World Publishing -- BMI),AMP/HL,2019-01-05,01,05,2019,LT  38
5,AEROLINEA CARRILLO,(BMG Platinum Songs -- BMI/BMG Gold Songs -- ASCAP/DEL Melodies -- BMI/DEL World Songs -- ASCAP),,2019-01-05,01,05,2019,LT  27
6,ALL I WANT FOR CHRISTMAS IS YOU,(Uni-versal Tunes -- SESAC/Beyondidolization -- SESAC/Sony/ATV Tunes LLC -- ASCAP/Tamal Vista Music -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),HL,2019-01-05,01,05,2019,H100   3
7,ALL MY FRIENDS,(Not Listed),,2019-01-05,01,05,2019,H100  67 ; RBH  23 ; RS  21
8,ALL OF MY LIFE,(The Book Productions LLC -- ASCAP/Sony/ATV Tunes LLC -- ASCAP/Campbell Kids Publishing -- ASCAP/WB Music Corp. -- ASCAP/That’s Plum Song -- ASCAP),AMP/HL,2019-01-05,01,05,2019,GS  14
9,ALL OUT LIFE,(Sony/ATV Tunes LLC -- ASCAP/Music That Music -- ASCAP),HL,2019-01-05,01,05,2019,RO  37
10,AMANECE,(Not Listed),,2019-01-05,01,05,2019,LT  17
11,AMIGOS CON DERECHOS,(Sony/ATV Discos Music Publishing LLC -- ASCAP/Juvelo Music S.A. de C.V. -- SACM/Sony DADC Mexico S.A. de C.V. -- SACM/Baluarte Music Publishing Inc. -- ASCAP/Sony/ATV Bailar -- BMI/Royalty Sound -- LLC -- ASCAP/Sony/ATV Accorde -- ASCAP/Rude Boyz Music -- ASCAP),HL,2019-01-05,01,05,2019,LT  15
12,ANOTHER ONE BITES THE DUST,(Beechwood Music Corporation -- BMI/EMI Music Publishing Ltd. -- PRS/Queen Music Ltd. -- PRS),HL,2019-01-05,01,05,2019,RO   5
13,ARE YOU READY,(Mother Culture -- ASCAP/WB Music Corp. -- ASCAP/GumpofWump  Inc. -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),AMP,2019-01-05,01,05,2019,RO  31
14,ARMED AND DANGEROUS,(Jarad Higgins Publishing Designee -- ASCAP/Copyright Control),,2019-01-05,01,05,2019,H100  76 ; RBH  30
15,ARMS AROUND YOU,(Essketit Publishing -- BMI/Tha Lights Global Publishing -- LLC -- BMI/Royalty Sound -- LLC -- ASCAP/Sony/ATV Discos Music Publishing LLC -- ASCAP/Sony/ATV Bailar -- BMI/11Once Music -- BMI/Bad Vibes Forever Publishing -- ASCAP/Copaface -- ASCAP/EarDrum-mers Entertainment LLC -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/Mally Mall Music -- ASCAP/Battery Park Music -- ASCAP),AMP/HL,2019-01-05,01,05,2019,H100  77 ; RBH  31 ; RBS   4
16,ASMR,(Not Listed),,2019-01-05,01,05,2019,H100  95 ; RBH  38
17,A&T,(Not Listed),,2019-01-05,01,05,2019,RBH  45
18,BLOW THAT SMOKE,(I Like Turtles Music -- ASCAP/KMR Music Royalties II SCSp -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/12th And Spring Garden -- ASACP/Prescription Songs -- LLC. -- ASCAP/Kobalt Songs Music Publishing -- GEMA),,2019-01-05,01,05,2019,DES  30
19,BLUE CHRISTMAS,(Universal PolyGram Int. Publishing Inc. -- ASCAP),HL,2019-01-05,01,05,2019,H100  40
20,BODY TALKS,(Freesolo Entertainment Songs -- BMI/Sony/ATV Songs LLC -- BMI/Mad Hatteraas Music -- BMI/LAUREN CHRISTY IT’S LCBABA BABY SONGS -- BMI/Reservoir Media Manage-ment  Inc. -- BMI),HL,2019-01-05,01,05,2019,RO  30
21,BOHEMIAN RHAPSODY,(Glenwood Music Cor-poration -- PRS/EMI Music Publishing Ltd. -- PRS/Queen Music Ltd. -- PRS),HL,2019-01-05,01,05,2019,RO   4
22,BORN AGAIN,(Fair Trade Global Songs -- BMI/Be Essential Songs -- BMI/AustinFrenchMusic -- BMI/Foundational Songs -- BMI/Meaux Jeaux Music -- SESAC/Da Bears Da Bears Da Bears Music -- SESAC/Capitol CMG Amplifier -- SESAC),HL,2019-01-05,01,05,2019,CST  30
23,BORN ON THAT DAY,(Brian Elmquist Publish-ing -- BMI/BMG Platinum Songs -- BMI/Matt Maher Publishing Designee -- BMI/Be Essential Songs -- BMI/Blue Mitchell Publishing -- ASCAP/worshiptogether.com songs -- ASCAP/sixsteps Music -- ASCAP/Capitol CMG Genesis -- ASCAP/Capitol CMG Paragon -- BMI/S.D.G. Publishing -- BMI),HL,2019-01-05,01,05,2019,CST  33
24,BREAK DA LAW,(Not Listed),,2019-01-05,01,05,2019,H100  70 ; RBH  26 ; RS  24
25,BREATHIN,(Wolf Cousins -- STIM/Warner/Chappell Music Scandinavia AB -- STIM/MXM -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Universal Music Corp. -- ASCAP/Gran-dAriMusic -- ASCAP/WB Music Corp. -- ASCAP),AMP/HL,2019-01-05,01,05,2019,H100  22
26,BRING ME LOVE,(Not Listed),,2019-01-05,01,05,2019,RBS  25
27,BROKEN,(Green And Bloom Talent -- BMI/BMG Platinum Songs -- BMI/Mitchy Collins Music -- BMI/Hard To Love Music -- ASCAP/WB Music Corp. -- ASCAP),AMP,2019-01-05,01,05,2019,RO   3
